ordinal	Shift-JIS	HTML	Japanese	English	Tag
#1007	\x{F8A5}	&#63653;	霧			
#1008	\x{F8A6}	&#63654;	小雨			
#1009	\x{F8A7}	&#63655;	牡羊座			
#1010	\x{F8A8}	&#63656;	牡牛座			
#1011	\x{F8A9}	&#63657;	双子座			
#1012	\x{F8AA}	&#63658;	蟹座			
#1013	\x{F8AB}	&#63659;	獅子座			
#1014	\x{F8AC}	&#63660;	乙女座			
#1015	\x{F8AD}	&#63661;	天秤座			
#1016	\x{F8AE}	&#63662;	蠍座			
#1017	\x{F8AF}	&#63663;	射手座			
#1018	\x{F8B0}	&#63664;	山羊座			
#1019	\x{F8B1}	&#63665;	水瓶座			
#1020	\x{F8B2}	&#63666;	魚座			
#1021	\x{F8B3}	&#63667;	スポーツ			
#1022	\x{F8B4}	&#63668;	野球			
#1023	\x{F8B5}	&#63669;	ゴルフ			
#1024	\x{F8B6}	&#63670;	テニス			
#1025	\x{F8B7}	&#63671;	サッカー			
#1026	\x{F8B8}	&#63672;	スキー			
#1027	\x{F8B9}	&#63673;	バスケットボール			
#1028	\x{F8BA}	&#63674;	モータースポーツ			
#1029	\x{F8BB}	&#63675;	ポケットベル			
#1030	\x{F8BC}	&#63676;	電車			
#1031	\x{F8BD}	&#63677;	地下鉄			
#1032	\x{F8BE}	&#63678;	新幹線			
#1033	\x{F8BF}	&#63679;	車(セダン)			
#1034	\x{F8C0}	&#63680;	車(RV)			
#1035	\x{F8C1}	&#63681;	バス			
#1036	\x{F8C2}	&#63682;	船			
#1037	\x{F8C3}	&#63683;	飛行機			
#1038	\x{F8C4}	&#63684;	家			
#1039	\x{F8C5}	&#63685;	ビル			
#1040	\x{F8C6}	&#63686;	郵便局			
#1041	\x{F8C7}	&#63687;	病院			
#1042	\x{F8C8}	&#63688;	銀行			
#1043	\x{F8C9}	&#63689;	ATM			
#1044	\x{F8CA}	&#63690;	ホテル			
#1045	\x{F8CB}	&#63691;	コンビニ			
#1046	\x{F8CC}	&#63692;	ガソリンスタンド			
#1047	\x{F8CD}	&#63693;	駐車場			
#1048	\x{F8CE}	&#63694;	信号			
#1049	\x{F8CF}	&#63695;	トイレ			
#1050	\x{F8D0}	&#63696;	レストラン			
#1051	\x{F8D1}	&#63697;	喫茶店			
#1052	\x{F8D2}	&#63698;	バー			
#1053	\x{F8D3}	&#63699;	ビール			
#1054	\x{F8D4}	&#63700;	ファーストフード			
#1055	\x{F8D5}	&#63701;	ブティック			
#1056	\x{F8D6}	&#63702;	美容院			
#1057	\x{F8D7}	&#63703;	カラオケ			
#1058	\x{F8D8}	&#63704;	映画			
#1059	\x{F8D9}	&#63705;	右斜め上			
#1060	\x{F8DA}	&#63706;	遊園地			
#1061	\x{F8DB}	&#63707;	音楽			
#1062	\x{F8DC}	&#63708;	アート			
#1063	\x{F8DD}	&#63709;	演劇			
#1064	\x{F8DE}	&#63710;	イベント			
#1065	\x{F8DF}	&#63711;	チケット			
#1066	\x{F8E0}	&#63712;	喫煙			
#1067	\x{F8E1}	&#63713;	禁煙			
#1068	\x{F8E2}	&#63714;	カメラ			
#1069	\x{F8E3}	&#63715;	カバン			
#1070	\x{F8E4}	&#63716;	本			
#1071	\x{F8E5}	&#63717;	リボン			
#1072	\x{F8E6}	&#63718;	プレゼント			
#1073	\x{F8E7}	&#63719;	バースデイ			
#1074	\x{F8E8}	&#63720;	電話			
#1075	\x{F8E9}	&#63721;	携帯電話			
#1076	\x{F8EA}	&#63722;	メモ			
#1077	\x{F8EB}	&#63723;	TV			
#1078	\x{F8EC}	&#63724;	ゲーム			
#1079	\x{F8ED}	&#63725;	CD			
#1080	\x{F8EE}	&#63726;	ハート			
#1081	\x{F8EF}	&#63727;	スペード			
#1082	\x{F8F0}	&#63728;	ダイヤ			
#1083	\x{F8F1}	&#63729;	クラブ			
#1084	\x{F8F2}	&#63730;	目			
#1085	\x{F8F3}	&#63731;	耳			
#1086	\x{F8F4}	&#63732;	手(グー)			
#1087	\x{F8F5}	&#63733;	手(チョキ)			
#1088	\x{F8F6}	&#63734;	手(パー)			
#1089	\x{F8F7}	&#63735;	右斜め下			
#1090	\x{F8F8}	&#63736;	左斜め上			
#1091	\x{F8F9}	&#63737;	足			
#1094	\x{F8FC}	&#63740;	車椅子			
#1095	\x{F940}	&#63808;	新月			
#1096	\x{F941}	&#63809;	やや欠け月			
#1097	\x{F942}	&#63810;	半月			
#1098	\x{F943}	&#63811;	三日月			
#1099	\x{F944}	&#63812;	満月			
#1100	\x{F945}	&#63813;	犬			
#1101	\x{F946}	&#63814;	猫			
#1102	\x{F947}	&#63815;	リゾート			
#1103	\x{F948}	&#63816;	クリスマス			
#1104	\x{F949}	&#63817;	左斜め下			
#1105	\x{F972}	&#63858;	phone to			
#1106	\x{F973}	&#63859;	mail to			
#1107	\x{F974}	&#63860;	fax to			
#1108	\x{F975}	&#63861;	iモード			
#1109	\x{F976}	&#63862;	iモード			
#1110	\x{F977}	&#63863;	メール			
#1111	\x{F978}	&#63864;	ドコモ			
#1112	\x{F979}	&#63865;	ドコモポイント			
#1113	\x{F97A}	&#63866;	有料			
#1114	\x{F97B}	&#63867;	FREE			
#1115	\x{F97C}	&#63868;	ID			
#1116	\x{F97D}	&#63869;	パスワード			
#1117	\x{F97E}	&#63870;	次項有			
#1118	\x{F980}	&#63872;	CL			
#1119	\x{F981}	&#63873;	サーチ(調べる)			
#1120	\x{F982}	&#63874;	NEW			
#1121	\x{F983}	&#63875;	位置情報			
#1122	\x{F984}	&#63876;	フリーダイヤル			
#1123	\x{F985}	&#63877;	シャープダイヤル			
#1124	\x{F986}	&#63878;	Q			
#1125	\x{F987}	&#63879;	1			
#1126	\x{F988}	&#63880;	2			
#1127	\x{F989}	&#63881;	3			
#1128	\x{F98A}	&#63882;	4			
#1129	\x{F98B}	&#63883;	5			
#1130	\x{F98C}	&#63884;	6			
#1131	\x{F98D}	&#63885;	7			
#1132	\x{F98E}	&#63886;	8			
#1133	\x{F98F}	&#63887;	9			
#1134	\x{F990}	&#63888;	0			
#1135	\x{F9B0}	&#63920;	決定			
#1136	\x{F991}	&#63889;	黒ハート			
#1137	\x{F992}	&#63890;	揺れるハート			
#1138	\x{F993}	&#63891;	失恋			
#1139	\x{F994}	&#63892;	ハートたち(複数ハート)			
#1140	\x{F995}	&#63893;	わーい(嬉しい顔)			
#1141	\x{F996}	&#63894;	ちっ(怒った顔)			
#1142	\x{F997}	&#63895;	がく〜(落胆した顔)			
